epoch,lr,step,train_auc,train_loss_epoch,train_loss_step,val_auc,val_loss
0,,35,,,,0.5058361291885376,0.348262220621109
0,4.532091770670377e-05,35,0.4954474866390228,0.5915267467498779,,,
1,,49,,,0.32933685183525085,,
1,,71,,,,0.5088966488838196,0.11638074368238449
1,3.307091537863016e-05,71,0.4999347925186157,0.3034456670284271,,,
2,,99,,,0.12328452616930008,,
2,,107,,,,0.5042880773544312,0.08840934187173843
2,1.7929083696799353e-05,107,0.5009667277336121,0.1443658322095871,,,
3,,143,,,,0.5020237565040588,0.08089729398488998
3,5.679083642462501e-06,143,0.5072192549705505,0.10162930935621262,,,
4,,149,,,0.09220488369464874,,
4,,179,,,,0.4999234080314636,0.08069659769535065
4,9.999999974752427e-07,179,0.5031057000160217,0.08970566838979721,,,
