epoch,lr,step,train_auc,train_loss_epoch,train_loss_step,val_auc,val_loss
0,,35,,,,0.49753105640411377,0.040147311985492706
0,0.00045234974822960794,35,0.4934535026550293,0.15076112747192383,,,
1,,49,,,0.03203001245856285,,
1,,71,,,,0.5018289089202881,0.030996473506093025
1,0.00032759972964413464,71,0.5065961480140686,0.03197706490755081,,,
2,,99,,,0.031248662620782852,,
2,,107,,,,0.5401334166526794,0.030775349587202072
2,0.0001734002580633387,107,0.5123002529144287,0.031314074993133545,,,
3,,143,,,,0.5343342423439026,0.03071236051619053
3,4.865026130573824e-05,143,0.5061326622962952,0.030731847509741783,,,
4,,149,,,0.03350958600640297,,
4,,179,,,,0.540315568447113,0.030693378299474716
4,9.999999974752427e-07,179,0.5039927363395691,0.031089704483747482,,,
