epoch,step,train_loss,val_auc,val_loss
0,49,0.030855054035782814,,
0,99,0.02863542176783085,,
0,118,,0.6381703615188599,0.027821745723485947
1,149,0.02626624144613743,,
1,199,0.0238795205950737,,
1,237,,0.8080320954322815,0.022822542116045952
2,249,0.02037426084280014,,
2,299,0.022037062793970108,,
2,349,0.022984907031059265,,
2,356,,0.8609724640846252,0.019641103222966194
3,399,0.022096604108810425,,
3,449,0.020558813586831093,,
3,475,,0.8864381909370422,0.017267903313040733
4,499,0.01733263023197651,,
4,549,0.014621229842305183,,
4,594,,0.9012385606765747,0.015973271802067757
