epoch,step,train_loss,val_auc,val_loss
0,49,0.034184958785772324,,
0,99,0.030157936736941338,,
0,118,,0.5426534414291382,0.029297595843672752
1,149,0.029211021959781647,,
1,199,0.02775861881673336,,
1,237,,0.6299918293952942,0.0283378753811121
2,249,0.026530276983976364,,
2,299,0.02644125558435917,,
2,349,0.028128495439887047,,
2,356,,0.7287235260009766,0.02590540051460266
3,399,0.027105003595352173,,
3,449,0.026073090732097626,,
3,475,,0.797054648399353,0.02503589540719986
4,499,0.02247331291437149,,
4,549,0.021194972097873688,,
4,594,,0.8406524658203125,0.02100607566535473
5,599,0.02051297388970852,,
5,649,0.018851976841688156,,
5,699,0.02226526290178299,,
5,713,,0.8609039187431335,0.019492054358124733
6,749,0.020779382437467575,,
6,799,0.017675794661045074,,
6,832,,0.8715119957923889,0.018401658162474632
7,849,0.017087297514081,,
7,899,0.0213148295879364,,
7,949,0.016124965623021126,,
7,951,,0.8803420662879944,0.01779412105679512
8,999,0.016721080988645554,,
8,1049,0.017203908413648605,,
8,1070,,0.8821935057640076,0.01750214211642742
9,1099,0.02061430551111698,,
9,1149,0.018188606947660446,,
9,1189,,0.8844102621078491,0.017366472631692886
