epoch,lr,step,train_auc,train_loss_epoch,train_loss_step,val_auc,val_loss
0,,43,,,,0.506229817867279,0.033764854073524475
0,0.00045234974822960794,43,0.49511125683784485,0.1254371553659439,,,
1,,49,,,0.03292761743068695,,
1,,87,,,,0.5491570234298706,0.030881350859999657
1,0.00032759972964413464,87,0.5067034959793091,0.03135734051465988,,,
2,,99,,,0.03217201679944992,,
2,,131,,,,0.5595200657844543,0.0307230856269598
2,0.0001734002580633387,131,0.5120032429695129,0.031092172488570213,,,
3,,149,,,0.02948792465031147,,
3,,175,,,,0.5613389015197754,0.030664857476949692
3,4.865026130573824e-05,175,0.5078113079071045,0.0306309275329113,,,
4,,199,,,0.029726939275860786,,
4,,219,,,,0.5647779107093811,0.030645664781332016
4,9.999999974752427e-07,219,0.5161093473434448,0.031098244711756706,,,
