epoch,step,train_loss,val_auc,val_loss
0,49,0.031110640615224838,,
0,99,0.028272494673728943,,
0,118,,0.6394034028053284,0.02874409593641758
1,149,0.024633565917611122,,
1,199,0.024951057508587837,,
1,237,,0.8227402567863464,0.022743454203009605
2,249,0.022419165819883347,,
2,299,0.020593099296092987,,
2,349,0.023059627041220665,,
2,356,,0.8590947985649109,0.019587088376283646
3,399,0.017853401601314545,,
3,449,0.01870962418615818,,
3,475,,0.8910534977912903,0.01740133948624134
4,499,0.016051433980464935,,
4,549,0.01615062914788723,,
4,594,,0.8951190114021301,0.016567133367061615
