epoch,step,train_loss,val_auc,val_loss
0,49,0.03064841218292713,,
0,99,0.030312588438391685,,
0,118,,0.5918097496032715,0.029275231063365936
1,149,0.028039701282978058,,
1,199,0.02680148370563984,,
1,237,,0.7038350105285645,0.027609700337052345
2,249,0.02541087381541729,,
2,299,0.02623298391699791,,
2,349,0.02228432707488537,,
2,356,,0.7957627177238464,0.024102335795760155
3,399,0.022462567314505577,,
3,449,0.02306883968412876,,
3,475,,0.8703351020812988,0.0206396896392107
4,499,0.01967724785208702,,
4,549,0.021977141499519348,,
4,594,,0.8833253979682922,0.01952471397817135
