epoch,step,train_loss,val_auc,val_loss
0,49,0.030725732445716858,,
0,99,0.028855569660663605,,
0,118,,0.5562818050384521,0.029528893530368805
1,149,0.032454922795295715,,
1,199,0.031106822192668915,,
1,237,,0.6617027521133423,0.02842908725142479
2,249,0.02633742429316044,,
2,299,0.025557851418852806,,
2,349,0.027323180809617043,,
2,356,,0.7562916874885559,0.026099540293216705
3,399,0.026503102853894234,,
3,449,0.025510169565677643,,
3,475,,0.810145914554596,0.03085828758776188
4,499,0.02194691263139248,,
4,549,0.02245834283530712,,
4,594,,0.8573876619338989,0.02137869969010353
5,599,0.01896783523261547,,
5,649,0.018588675186038017,,
5,699,0.019953472539782524,,
5,713,,0.8710107803344727,0.020020559430122375
6,749,0.0189747903496027,,
6,799,0.021307671442627907,,
6,832,,0.8847292065620422,0.01904902048408985
7,849,0.01957939751446247,,
7,899,0.01723318174481392,,
7,949,0.019195524975657463,,
7,951,,0.8877732157707214,0.018594637513160706
8,999,0.018039986491203308,,
8,1049,0.01733439974486828,,
8,1070,,0.8924785852432251,0.01822783797979355
9,1099,0.018486695364117622,,
9,1149,0.014212273061275482,,
9,1189,,0.8933410048484802,0.018119264394044876
