epoch,lr,step,train_auc,train_loss_epoch,train_loss_step,val_auc,val_loss
0,,35,,,,0.5008084177970886,0.6958033442497253
0,0.00045234974822960794,35,0.5045924186706543,0.7010352611541748,,,
1,,49,,,0.7006208896636963,,
1,,71,,,,0.4913623034954071,0.6999034881591797
1,0.00032759972964413464,71,0.5074775815010071,0.7010255455970764,,,
2,,99,,,0.7008807063102722,,
2,,107,,,,0.5001208186149597,0.6996296048164368
2,0.0001734002580633387,107,0.48934221267700195,0.7011216878890991,,,
3,,143,,,,0.5015146732330322,0.6991751790046692
3,4.865026130573824e-05,143,0.5048274397850037,0.7009692788124084,,,
4,,149,,,0.7008392810821533,,
4,,179,,,,0.5019508600234985,0.6991164088249207
4,9.999999974752427e-07,179,0.5025648474693298,0.7009806632995605,,,
