epoch,step,train_loss,val_auc,val_loss
0,49,0.030322464182972908,,
0,99,0.031334616243839264,,
0,118,,0.5381448864936829,0.029875820502638817
1,149,0.029242150485515594,,
1,199,0.027581674978137016,,
1,237,,0.6267056465148926,0.02863382175564766
2,249,0.02679603546857834,,
2,299,0.028373079374432564,,
2,349,0.025701815262436867,,
2,356,,0.710443913936615,0.027443964034318924
3,399,0.026533091440796852,,
3,449,0.026912489905953407,,
3,475,,0.7633144855499268,0.02579125016927719
4,499,0.024945566430687904,,
4,549,0.027108153328299522,,
4,594,,0.7815898656845093,0.025051476433873177
