epoch,step,train_loss,val_auc,val_loss
0,49,0.02942190319299698,,
0,99,0.02941122092306614,,
0,118,,0.5503594279289246,0.02931562066078186
1,149,0.028037840500473976,,
1,199,0.031093021854758263,,
1,237,,0.6338453888893127,0.02820810116827488
2,249,0.02604917623102665,,
2,299,0.027218876406550407,,
2,349,0.02770090103149414,,
2,356,,0.7106207609176636,0.026954425498843193
3,399,0.026807278394699097,,
3,449,0.025867212563753128,,
3,475,,0.7684203386306763,0.026512201875448227
4,499,0.023746954277157784,,
4,549,0.026639597490429878,,
4,594,,0.7867015600204468,0.024548828601837158
