epoch,step,train_loss,val_auc,val_loss
0,49,0.024462249130010605,,
0,99,0.02477286569774151,,
0,120,,0.4298904538154602,0.022516459226608276
1,149,0.02058574929833412,,
1,199,0.022167032584547997,,
1,241,,0.4674777388572693,0.020701978355646133
2,249,0.020610254257917404,,
2,299,0.020806437358260155,,
2,349,0.01918567158281803,,
2,362,,0.48881953954696655,0.019646022468805313
3,399,0.019613400101661682,,
3,449,0.01981309987604618,,
3,483,,0.49926114082336426,0.01942952163517475
4,499,0.0189348291605711,,
4,549,0.016516709700226784,,
4,599,0.01907411962747574,,
4,604,,0.5063883066177368,0.019196106120944023
