epoch,lr,step,train_auc,train_loss_epoch,train_loss_step,val_auc,val_loss
0,,35,,,,0.48664233088493347,0.03597518056631088
0,0.00452263792976737,35,0.5105200409889221,0.0789056196808815,,,
1,,49,,,0.031109938398003578,,
1,,71,,,,0.5148106813430786,0.030617952346801758
1,0.0032728880178183317,71,0.4889923930168152,0.030976934358477592,,,
2,,99,,,0.031024612486362457,,
2,,107,,,,0.523487389087677,0.03056233748793602
2,0.0017281119944527745,107,0.51735520362854,0.03099849261343479,,,
3,,143,,,,0.529862105846405,0.030569953843951225
3,0.0004783620242960751,143,0.51551753282547,0.03053983300924301,,,
4,,149,,,0.033342212438583374,,
4,,179,,,,0.5299475193023682,0.030528001487255096
4,9.999999974752427e-07,179,0.5121992230415344,0.03091137297451496,,,
