epoch,step,train_loss,val_auc,val_loss
0,49,0.02446264773607254,,
0,99,0.024772420525550842,,
0,120,,0.4298999309539795,0.02251334860920906
1,149,0.020585305988788605,,
1,199,0.022166777402162552,,
1,241,,0.46750423312187195,0.020701803267002106
2,249,0.02060828171670437,,
2,299,0.020806046202778816,,
2,349,0.01918560080230236,,
2,362,,0.48892179131507874,0.019644733518362045
3,399,0.019612448289990425,,
3,449,0.019812745973467827,,
3,483,,0.4992589056491852,0.01942743919789791
4,499,0.018940581008791924,,
4,549,0.01651161164045334,,
4,599,0.019074760377407074,,
4,604,,0.5064364671707153,0.019192177802324295
