epoch,step,train_loss,val_auc,val_loss
0,49,0.032220035791397095,,
0,99,0.028630215674638748,,
0,118,,0.6543182134628296,0.0281086266040802
1,149,0.029365109279751778,,
1,199,0.023589298129081726,,
1,237,,0.7998448610305786,0.02379855141043663
2,249,0.022026073187589645,,
2,299,0.02140902541577816,,
2,349,0.0229055043309927,,
2,356,,0.8546749949455261,0.020535845309495926
3,399,0.016438977792859077,,
3,449,0.017793552950024605,,
3,475,,0.8831800818443298,0.01844603754580021
4,499,0.016572104766964912,,
4,549,0.019274890422821045,,
4,594,,0.895786464214325,0.017435941845178604
