epoch,lr,step,train_auc,train_loss_epoch,train_loss_step,val_auc,val_loss
0,,35,,,,0.4974190890789032,0.040146488696336746
0,0.00045234974822960794,35,0.4934278726577759,0.15076227486133575,,,
1,,49,,,0.0320260152220726,,
1,,71,,,,0.5006839036941528,0.03099752403795719
1,0.00032759972964413464,71,0.5063205361366272,0.03197947144508362,,,
2,,99,,,0.031251322478055954,,
2,,107,,,,0.539957582950592,0.0307749155908823
2,0.0001734002580633387,107,0.5122807025909424,0.03131425380706787,,,
3,,143,,,,0.5340123772621155,0.03071221522986889
3,4.865026130573824e-05,143,0.5060222148895264,0.030732087790966034,,,
4,,149,,,0.03350779414176941,,
4,,179,,,,0.5399609804153442,0.030693573877215385
4,9.999999974752427e-07,179,0.5037417411804199,0.031089894473552704,,,
