epoch,step,train_loss,val_auc,val_loss
0,49,0.030243584886193275,,
0,99,0.029450971633195877,,
0,118,,0.5463318824768066,0.02915252186357975
1,149,0.03174346685409546,,
1,199,0.02948833629488945,,
1,237,,0.6555299758911133,0.02800665609538555
2,249,0.026619795709848404,,
2,299,0.024540292099118233,,
2,349,0.027248239144682884,,
2,356,,0.7667556405067444,0.025513844564557076
3,399,0.024187050759792328,,
3,449,0.021676450967788696,,
3,475,,0.8347470164299011,0.02261948399245739
4,499,0.022419527173042297,,
4,549,0.022478630766272545,,
4,594,,0.8575037121772766,0.020795518532395363
5,599,0.023640794679522514,,
5,649,0.022449327632784843,,
5,699,0.02097577229142189,,
5,713,,0.8698474168777466,0.01966876909136772
6,749,0.019113022834062576,,
6,799,0.020118437707424164,,
6,832,,0.8800088763237,0.018509458750486374
7,849,0.018944064155220985,,
7,899,0.01866227760910988,,
7,949,0.01831398531794548,,
7,951,,0.8827893733978271,0.017858609557151794
8,999,0.017389429733157158,,
8,1049,0.01546232495456934,,
8,1070,,0.8849560022354126,0.017556941136717796
9,1099,0.0223879162222147,,
9,1149,0.015737049281597137,,
9,1189,,0.8860114216804504,0.017439963296055794
