epoch,step,train_loss,val_auc,val_loss
0,49,0.02959740348160267,,
0,99,0.029145190492272377,,
0,118,,0.5438416004180908,0.029717039316892624
1,149,0.030308615416288376,,
1,199,0.02763567678630352,,
1,237,,0.6266958713531494,0.028427356854081154
2,249,0.026330281049013138,,
2,299,0.025263238698244095,,
2,349,0.026889806613326073,,
2,356,,0.7047960758209229,0.02683984860777855
3,399,0.026548057794570923,,
3,449,0.03040364198386669,,
3,475,,0.8014012575149536,0.02380952797830105
4,499,0.022437158972024918,,
4,549,0.02346142940223217,,
4,594,,0.8386789560317993,0.021638361737132072
5,599,0.021359490230679512,,
5,649,0.02308364026248455,,
5,699,0.022045575082302094,,
5,713,,0.8625049591064453,0.0201505608856678
6,749,0.017150742933154106,,
6,799,0.022424980998039246,,
6,832,,0.8744918704032898,0.019032416865229607
7,849,0.018576612696051598,,
7,899,0.01952042244374752,,
7,949,0.016940191388130188,,
7,951,,0.8833037614822388,0.018443945795297623
8,999,0.016686711460351944,,
8,1049,0.016623929142951965,,
8,1070,,0.8835419416427612,0.01813538186252117
9,1099,0.019239937886595726,,
9,1149,0.019256822764873505,,
9,1189,,0.8853272199630737,0.01795029081404209
