epoch,lr,step,train_loss_epoch,train_loss_step,val_auc,val_loss
0,,43,,,0.5056056380271912,0.034228283911943436
0,0.00045234974822960794,43,0.12507684528827667,,,
1,,49,,0.031113384291529655,,
1,,87,,,0.5288225412368774,0.03124689683318138
1,0.00032759972964413464,87,0.03160558268427849,,,
2,,99,,0.029449667781591415,,
2,,131,,,0.5358793139457703,0.03108351305127144
2,0.0001734002580633387,131,0.03090178780257702,,,
3,,149,,0.03160449117422104,,
3,,175,,,0.5383259654045105,0.03100128099322319
3,4.865026130573824e-05,175,0.03092913143336773,,,
4,,199,,0.03155560791492462,,
4,,219,,,0.540330708026886,0.03098819963634014
4,9.999999974752427e-07,219,0.030883025377988815,,,
