epoch,lr,step,train_loss_epoch,train_loss_step,val_auc,val_loss
0,,43,,,0.5137318968772888,0.035319797694683075
0,0.00045234974822960794,43,0.1277073174715042,,,
1,,49,,0.031944211572408676,,
1,,87,,,0.5193546414375305,0.030963389202952385
1,0.00032759972964413464,87,0.03140825033187866,,,
2,,99,,0.03126625344157219,,
2,,131,,,0.5278231501579285,0.03082432597875595
2,0.0001734002580633387,131,0.030848681926727295,,,
3,,149,,0.03152582421898842,,
3,,175,,,0.5356678366661072,0.03076908178627491
3,4.865026130573824e-05,175,0.030724061653017998,,,
4,,199,,0.030221452936530113,,
4,,219,,,0.5384389758110046,0.03075253777205944
4,9.999999974752427e-07,219,0.03072131983935833,,,
